Item	Person	Number	Category	Tags
medication 	Ritchie	1	medicine/first aid	essential
sunscreen	all	1	toiletries	van gear
Technu	all	1	medicine/first aid	van gear
toothbrushes	all	4	toiletries	van gear
washcloths	all	5	toiletries	van gear
wipes	all	1	toiletries	essential
shampoo/conditioner	all	1	toiletries	van gear
waterproof shoes/boots	ada	1	shoes	rain
waterproof shoes/boots	roxy	1	shoes	rain
waterproof shoes/boots	emily	1	shoes	rain
waterproof shoes/boots	ritchie	1	shoes	rain
white hiking shirt	ritchie	1	clothing	warm weather, hiking
white hiking shirt	roxy	1	clothing	warm weather, hiking
white hiking shirt	ada	1	clothing	warm weather, hiking
neck lights	all	4	activities	essential
charging cords	all	4	activities	essential
tampons and pads	emily	1	toiletries	essential, van gear
rain pants	emily	1	clothing	rain
rain pants	ritchie	1	clothing	rain
rain pants	roxy	1	clothing	rain
rain pants	ada	1	clothing	rain
gloves	ritchie	1	clothing	cold weather
gloves	roxy	1	clothing	cold weather
gloves	ada	1	clothing	cold weather
gloves	emily	1	clothing	cold weather
tupperware for lunches	all	4	kitchen	essential, hiking
